"Dataset","Area_square_microns","Perimeter_microns","Variability"
"C57-3 MeAc",18.4518167991537,19.6649175902444,6.33058907640528
"C57-3 MeAc",18.9428493177823,20.4930192207816,5.72087050254968
"C57-3 MeAc",20.026507289928,20.7690530976274,4.76748180229193
"C57-3 MeAc",19.6709320178177,20.0579970021079,5.8577345147962
"C57-3 MeAc",17.2369346194435,20.3471089613724,17.2491438619169
"C57-3 MeAc",20.3651504062236,21.3815588596556,5.18348923875814
"C57-3 MeAc",17.9099878130809,20.3628956033451,11.2567727957052
"C57-3 MeAc",20.3397521725014,21.3526941352642,4.9645014397886
"C57-3 MeAc",19.6539998620029,20.9530756821912,4.66881709798471
"C57-3 MeAc",19.2222298887261,20.2485586278811,6.7035634006782
"C57-3 MeAc",17.7787636055163,19.3376933058252,5.28255662037748
"C57-3 MeAc",18.9301502009212,20.5088058627543,4.73003749029759
"C57-3 MeAc",18.7100321753291,19.9409514670901,5.04031531612835
"C57-3 MeAc",19.3365219404759,20.6323904389814,6.89613250885261
"C57-3 MeAc",19.9630117056226,21.3973455016282,3.64353346079875
"C57-3 MeAc",18.599973162533,17.484389377768,26.0140723202018
"C57-3 MeAc",17.4612856839893,17.8181527033966,33.4128429232633
"C57-3 MeAc",19.7047963294473,21.7719297119653,4.6044039752208
"C57-3 MeAc",18.7819938375419,20.0645360433173,10.0212169517383
"C57-4 MeAc",19.4338818364108,20.5942781138268,5.03558144176059
"C57-4 MeAc",21.2583216254531,21.8731886050104,5.26818617076113
"C57-4 MeAc",18.4221855264779,20.807165422782,4.17013951516427
"C57-4 MeAc",17.0041174769903,17.2911191924409,33.3434988419889
"C57-4 MeAc",23.7896789197623,23.7264925330676,3.69328922751117
"C57-4 MeAc",19.6201355503734,21.7114917036286,5.63323493380869
"C57-4 MeAc",19.2857254730315,21.3211208513189,5.14825299800589
"C57-4 MeAc",18.8751206945232,20.3536480025818,8.16671315601914
"C57-4 MeAc",20.7376578341487,21.8323677203019,6.77683642096746
"C57-4 MeAc",19.556639966068,21.3973455016282,4.56262306792496
"C57-4 MeAc",19.4084836026887,21.206783875855,5.99040779621536
"C57-4 MeAc",21.8805783516462,21.9428742141103,13.1083031743902
"C57-4 MeAc",15.1288812205037,16.1200066355119,26.1345972518909
"C57-4 MeAc",21.3853127940639,22.4187173174925,6.45276599132358
"C57-4 MeAc",19.5608730050217,21.2922561269275,5.71823988572175
"C57-4 MeAc",19.0486752916246,21.4735701519375,6.12487079143031
"C57-4 MeAc",18.3967872927557,21.251435242219,5.26772273712473
"C57-4 MeAc",15.137347298411,16.7298038379862,21.6819706832841
"C57-4 MeAc",20.4032477568068,19.3665580302166,31.9610662864657
"C57-4 MeAc",19.2687933172167,20.8991767150639,4.0885386593713
"C57-4 PFA",17.9226869299419,21.0004356081091,7.115302930657
"C57-4 PFA",17.0295157107124,20.9530756821912,11.9742702163663
"C57-4 PFA",18.1512710334414,19.9409514670901,5.97860873138074
"C57-4 PFA",16.3649285949824,18.8934234863882,11.2431489069499
"C57-4 PFA",17.8337931119144,20.0198846769533,5.95280630689838
"C57-4 PFA",17.6475393979518,20.7151541305001,4.99060640742765
"C57-4 PFA",19.1502682265133,21.1055249828098,6.56649669927029
"C57-4 PFA",18.6042062014867,20.8545253486999,4.75924558194959
"C57-4 PFA",16.094014101946,17.9128725552324,8.80137189839804
"C57-4 PFA",15.484456492614,17.1136356490865,25.0990064576287
"C57-4 PFA",17.9311530078493,20.3879298460809,3.21742297462536
"C57-4 PFA",18.904751967199,21.0674126576552,4.73428236368719
"C57-4 PFA",17.1480408014159,19.4520302812891,10.6644394016958
"C57-4 PFA",14.320370780348,17.2372202253137,32.0255026688198
"C57-4 PFA",18.6507696299774,20.1276826112078,8.10965873378798
"C57-4 PFA",18.9216841230138,20.4706935375996,6.40899274189331
"C57-4 PFA",17.9311530078493,20.5561657886721,3.74444949737988
"C57-4 PFA",17.7406662549331,19.544041573571,10.082720965474
"C57-4 PFA",18.9301502009212,21.6984136212098,5.13671142748593
"C57-4 PFA",18.0581441764602,19.703029915399,6.43242843434082
"CBA-3 MeAc",20.9154454702039,21.7942553951473,5.35974449790824
"CBA-3 MeAc",23.6372895174293,21.7245697860474,13.1485211198613
"CBA-3 MeAc",19.4846783038552,20.8860986326452,5.03389374362929
